Measure,Port Name,Year of Date,Value
Bus Passengers,Presidio,2013,8530
Bus Passengers,Otay Mesa,2013,182509
Bus Passengers,Nogales,2013,165094
Bus Passengers,Naco,2013,554
Bus Passengers,Lukeville,2013,2622
Bus Passengers,Laredo,2013,1023411
Bus Passengers,Hidalgo,2013,334477
Bus Passengers,El Paso,2013,370797
Bus Passengers,Eagle Pass,2013,23622
Bus Passengers,Douglas,2013,14544
Bus Passengers,Del Rio,2013,0
Bus Passengers,Columbus,2013,15557
Bus Passengers,Calexico East,2013,103690
Bus Passengers,Calexico,2013,0
Bus Passengers,Brownsville,2013,55170
Bus Passengers,Andrade,2013,0
Bus Passengers,Tornillo,2012,0
Bus Passengers,Tecate,2012,1723
Bus Passengers,Sasabe,2012,0
Bus Passengers,Santa Teresa,2012,3039
Bus Passengers,San Ysidro,2012,583589
Bus Passengers,San Luis,2012,339
Bus Passengers,Roma,2012,12478
Bus Passengers,Rio Grande City,2012,0
Bus Passengers,Progreso,2012,1
Bus Passengers,Presidio,2012,8558
Bus Passengers,Otay Mesa,2012,163672
Bus Passengers,Nogales,2012,159472
Bus Passengers,Naco,2012,547
Bus Passengers,Lukeville,2012,2086
Bus Passengers,Laredo,2012,989205
Bus Passengers,Hidalgo,2012,302789
Bus Passengers,El Paso,2012,435560
Bus Passengers,Eagle Pass,2012,23156
Bus Passengers,Douglas,2012,19670
Bus Passengers,Del Rio,2012,39
Bus Passengers,Columbus,2012,16758
Bus Passengers,Calexico East,2012,92630
Bus Passengers,Calexico,2012,0
Bus Passengers,Brownsville,2012,51326
Bus Passengers,Andrade,2012,0
Bus Passengers,Tornillo,2011,0
Bus Passengers,Tecate,2011,3821
Bus Passengers,Sasabe,2011,0
Bus Passengers,Santa Teresa,2011,3296
Bus Passengers,San Ysidro,2011,467381
Bus Passengers,San Luis,2011,490
Bus Passengers,Roma,2011,9953
Bus Passengers,Rio Grande City,2011,0
Bus Passengers,Progreso,2011,230
Bus Passengers,Presidio,2011,8028
Bus Passengers,Otay Mesa,2011,167219
Bus Passengers,Nogales,2011,160959
Bus Passengers,Naco,2011,254
Bus Passengers,Lukeville,2011,2115
Bus Passengers,Laredo,2011,934241
Bus Passengers,Hidalgo,2011,303758
Bus Passengers,El Paso,2011,477659
Bus Passengers,Eagle Pass,2011,20069
Bus Passengers,Douglas,2011,14577
Bus Passengers,Del Rio,2011,76
Bus Passengers,Columbus,2011,17489
Bus Passengers,Calexico East,2011,88064
Bus Passengers,Calexico,2011,0
Bus Passengers,Brownsville,2011,40368
Bus Passengers,Andrade,2011,56
Bus Passengers,Tornillo,2010,0
Bus Passengers,Tecate,2010,4187
Bus Passengers,Sasabe,2010,0
Bus Passengers,Santa Teresa,2010,6530
Bus Passengers,San Ysidro,2010,550301
Bus Passengers,San Luis,2010,722
Bus Passengers,Roma,2010,20265
Bus Passengers,Rio Grande City,2010,0
Bus Passengers,Progreso,2010,1569
Bus Passengers,Presidio,2010,7964
Bus Passengers,Otay Mesa,2010,147129
Bus Passengers,Nogales,2010,167047
Bus Passengers,Naco,2010,950
Bus Passengers,Lukeville,2010,2567
Bus Passengers,Laredo,2010,902023
Bus Passengers,Hidalgo,2010,310943
Bus Passengers,El Paso,2010,400311
Bus Passengers,Eagle Pass,2010,21714
Bus Passengers,Douglas,2010,13785
Bus Passengers,Del Rio,2010,75
Bus Passengers,Columbus,2010,20111
Bus Passengers,Calexico East,2010,52184
Bus Passengers,Calexico,2010,0
Bus Passengers,Brownsville,2010,49330
Bus Passengers,Andrade,2010,0
Bus Passengers,Tornillo,2009,0
Bus Passengers,Tecate,2009,3805
Bus Passengers,Sasabe,2009,0
Bus Passengers,Santa Teresa,2009,7042
Bus Passengers,San Ysidro,2009,453130
Bus Passengers,San Luis,2009,1394
Bus Passengers,Roma,2009,19479
Bus Passengers,Rio Grande City,2009,0
Bus Passengers,Progreso,2009,2303
Bus Passengers,Presidio,2009,6009
Bus Passengers,Otay Mesa,2009,147186
Bus Passengers,Nogales,2009,166567
Bus Passengers,Naco,2009,730
Bus Passengers,Lukeville,2009,11896
Bus Passengers,Laredo,2009,845629
Bus Passengers,Hidalgo,2009,300778
Bus Passengers,El Paso,2009,311749
Bus Passengers,Eagle Pass,2009,22888
Bus Passengers,Douglas,2009,13572
Bus Passengers,Del Rio,2009,96
Bus Passengers,Columbus,2009,26488
Bus Passengers,Calexico East,2009,40161
Bus Passengers,Calexico,2009,625
Bus Passengers,Brownsville,2009,47663
Bus Passengers,Andrade,2009,0
Bus Passengers,Tornillo,2008,0
Bus Passengers,Tecate,2008,5933
Bus Passengers,Sasabe,2008,0
Bus Passengers,Santa Teresa,2008,8958
Bus Passengers,San Ysidro,2008,700787
Bus Passengers,San Luis,2008,1725
Bus Passengers,Roma,2008,30345
Bus Passengers,Rio Grande City,2008,0
Bus Passengers,Progreso,2008,6536
Bus Passengers,Presidio,2008,5871
Bus Passengers,Otay Mesa,2008,240026
Bus Passengers,Nogales,2008,195741
Bus Passengers,Naco,2008,1337
Bus Passengers,Lukeville,2008,46106
